TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151020       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.7889e-06     	2.22175e-06    	9.83075e-11    	1.01257e-05    	7.04865e-05    	2.49311e-05    	9.72439e-06    	1.35682e-05    	6.62326e-06    	0.000681798    	0.0191556      	0.0853584      	10             	4.11461e-10    	2.62506e-11    	0.000737555    	0.00734436     	1.43519e-05    	5.7769e-06     	1.99293e-05    	7.65561e-06    	0.000325645    	0.000208304    	8.65951e-10    	87             	7.14488e-10    	6.69278e-11    	0.000623876    	3.81456e-05    	1.63369e-05    	6.63912e-06    	1.82142e-05    	7.43012e-06    	0.000403437    	8.15082e-21    	1e-20          	1e-20          	6.27689e-10    	5.37383e-11    	0.000649032    	1.84918e-21    	-0.000413393           	2.06795e-08            	-1.47143e-14           	-9.27497e-05           
20151021       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.8197e-06     	2.26e-06       	1e-10          	1.03e-05       	7.17e-05       	2.51667e-05    	9.8321e-06     	1.36873e-05    	6.79628e-06    	0.000702177    	0.0189983      	0.0853577      	10             	4.07654e-10    	2.62387e-11    	0.000750976    	0.00750174     	1.43804e-05    	5.78108e-06    	1.98867e-05    	7.63883e-06    	0.000326282    	0.000208241    	8.65951e-10    	87             	7.13067e-10    	6.66516e-11    	0.000623785    	3.82086e-05    	1.48191e-05    	5.97947e-06    	1.94936e-05    	7.59757e-06    	0.000344691    	8.37637e-21    	1e-20          	1e-20          	6.91962e-10    	6.34008e-11    	0.000630103    	1.62363e-21    	-0.000950301           	4.42659e-08            	-1.47143e-14           	-0.000140759           
20151022       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	4.16869e-06    	7.05e-06       	1e-10          	1.08e-05       	0.0001         	2.53049e-05    	9.92224e-06    	1.37722e-05    	6.93438e-06    	0.000713353    	0.018913       	0.085357       	10             	4.05459e-10    	2.62616e-11    	0.000759727    	0.00758696     	1.44028e-05    	5.78487e-06    	1.98683e-05    	7.63077e-06    	0.000326801    	0.00020819     	8.65951e-10    	87             	7.11957e-10    	6.64861e-11    	0.000624179    	3.826e-05      	1.44028e-05    	5.78487e-06    	1.98683e-05    	7.63077e-06    	0.000326801    	8.44756e-21    	1e-20          	1e-20          	7.11957e-10    	6.64861e-11    	0.000624179    	1.55244e-21    	-0.00115177            	6.32268e-08            	-1.47143e-14           	-0.000157106           
20151023       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	4.16869e-06    	7.05e-06       	1e-10          	1.08e-05       	0.0001         	2.55552e-05    	1.00269e-05    	1.39164e-05    	7.03036e-06    	0.000727833    	0.0188038      	0.0853562      	10             	4.01522e-10    	2.62811e-11    	0.000775211    	0.00769624     	1.44138e-05    	5.78542e-06    	1.98711e-05    	7.6289e-06     	0.000326999    	0.00020817     	8.65951e-10    	87             	7.11412e-10    	6.64444e-11    	0.000624743    	3.82796e-05    	1.44138e-05    	5.78542e-06    	1.98711e-05    	7.6289e-06     	0.000326999    	8.44676e-21    	1e-20          	1e-20          	7.11412e-10    	6.64444e-11    	0.000624743    	1.55324e-21    	-0.00123496            	7.39329e-08            	-1.47143e-14           	-0.000153726           
20151024       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.59848e-05    	1.02533e-05    	1.40834e-05    	7.18908e-06    	0.000752118    	0.0186233      	0.0853558      	10             	3.94936e-10    	2.61636e-11    	0.000797593    	0.0078767      	1.44194e-05    	5.78542e-06    	1.98766e-05    	7.6289e-06     	0.000327121    	0.000208158    	8.65951e-10    	87             	7.11138e-10    	6.64375e-11    	0.000625159    	3.82916e-05    	1.44194e-05    	5.78542e-06    	1.98766e-05    	7.6289e-06     	0.000327121    	8.44627e-21    	1e-20          	1e-20          	7.11138e-10    	6.64375e-11    	0.000625159    	1.55373e-21    	-0.000594022           	3.06501e-08            	-1.47143e-14           	-0.000100425           
20151025       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	4.16869e-06    	7.05e-06       	1e-10          	1.08e-05       	0.0001         	2.55975e-05    	1.02532e-05    	1.38919e-05    	7.47471e-06    	0.000718955    	0.0188706      	0.0853554      	10             	4.00932e-10    	2.6201e-11     	0.000774981    	0.00762939     	1.44467e-05    	5.79108e-06    	1.98323e-05    	7.61462e-06    	0.000327791    	0.000208092    	8.65951e-10    	87             	7.09791e-10    	6.61633e-11    	0.000624949    	3.83578e-05    	1.55165e-05    	6.29496e-06    	1.89722e-05    	7.59882e-06    	0.000371962    	8.27013e-21    	1e-20          	1e-20          	6.60892e-10    	5.89372e-11    	0.00064208     	1.72987e-21    	-0.000573864           	3.30482e-08            	-1.47143e-14           	-9.29646e-05           
20151026       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	4.16869e-06    	7.05e-06       	1e-10          	1.08e-05       	0.0001         	2.57919e-05    	1.03805e-05    	1.39816e-05    	7.62663e-06    	0.000736221    	0.018741       	0.0853548      	10             	3.97947e-10    	2.61763e-11    	0.000785838    	0.00775896     	1.44804e-05    	5.80331e-06    	1.981e-05      	7.61178e-06    	0.00032884     	0.000207989    	8.65951e-10    	87             	7.08139e-10    	6.59351e-11    	0.000625701    	3.84615e-05    	1.44804e-05    	5.80331e-06    	1.981e-05      	7.61178e-06    	0.00032884     	8.43938e-21    	1e-20          	1e-20          	7.08139e-10    	6.59351e-11    	0.000625701    	1.56062e-21    	-0.000870905           	5.10285e-08            	-1.47143e-14           	-0.000116203           
20151027       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.60477e-05    	1.05052e-05    	1.40955e-05    	7.71828e-06    	0.000758174    	0.0185788      	0.0853544      	10             	3.94069e-10    	2.61344e-11    	0.000800034    	0.00792116     	1.44851e-05    	5.80331e-06    	1.98147e-05    	7.61178e-06    	0.000328959    	0.000207977    	8.65951e-10    	87             	7.0791e-10     	6.59295e-11    	0.000626053    	3.84732e-05    	1.44851e-05    	5.80331e-06    	1.98147e-05    	7.61178e-06    	0.000328959    	8.43891e-21    	1e-20          	1e-20          	7.0791e-10     	6.59295e-11    	0.000626053    	1.56109e-21    	-0.000586595           	3.18572e-08            	-1.47143e-14           	-8.49411e-05           
20151028       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	4.7863e-06     	1.69e-06       	1e-10          	7.25e-07       	4e-05          	2.30079e-05    	8.62654e-06    	1.26489e-05    	6.23984e-06    	0.000556521    	0.0201835      	0.085354       	10             	4.45623e-10    	2.64898e-11    	0.000634872    	0.00631653     	1.45027e-05    	5.80303e-06    	1.97662e-05    	7.59312e-06    	0.000329084    	0.000207964    	8.65951e-10    	87             	7.07044e-10    	6.56869e-11    	0.000625284    	3.84856e-05    	1.97661e-05    	7.67772e-06    	1.4657e-05     	6.6946e-06     	0.000480092    	7.87416e-21    	1e-20          	1e-20          	5.18688e-10    	3.57269e-11    	0.000632033    	2.12584e-21    	-0.000610787           	3.6251e-08             	-1.47143e-14           	-8.11281e-05           
20151029       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	4.7863e-06     	1.69e-06       	1e-10          	7.25e-07       	4e-05          	2.09823e-05    	7.4478e-06     	1.1618e-05     	5.31133e-06    	0.000457092    	0.0210812      	0.0853535      	10             	4.88252e-10    	2.6637e-11     	0.000532217    	0.00541877     	1.45145e-05    	5.79851e-06    	1.9716e-05     	7.57127e-06    	0.000328891    	0.000207984    	8.65951e-10    	87             	7.06458e-10    	6.54649e-11    	0.000624214    	3.84665e-05    	1.93496e-05    	7.09884e-06    	1.30672e-05    	5.7895e-06     	0.000429967    	8.0529e-21     	1e-20          	1e-20          	5.29525e-10    	3.24969e-11    	0.000551946    	1.9471e-21     	-0.000765396           	2.2089e-09             	-1.47143e-14           	-9.64673e-05           
